system,task_family,case_id,verifier_call_count,verifier_probe_count,direct_verifier_code_use,root_contract_read_before_durable_commitment,official_valid,normalized_score,outcome_label,verifier_call_trace_seqs,verifier_probe_trace_seqs
Claude Code + Claude Opus 4.6,AEOSSP-Standard,case_0001,27,2,no,yes,True,70.87,repeated calibration with high-quality handoff,91;109;131;138;149;153;155;158;177;181;191;200;214;224;269;294;315;356;365;377;389;426;445;462;465;471;490,35;39
Claude Code + Claude Opus 4.6,AEOSSP-Standard,case_0002,13,2,no,yes,True,74.45,repeated calibration with high-quality handoff,55;58;61;67;86;95;110;128;149;174;184;226;245,38;42
Claude Code + Claude Opus 4.6,AEOSSP-Standard,case_0003,7,2,no,yes,True,73.89,repeated calibration with high-quality handoff,56;58;64;72;85;93;107,35;40
Claude Code + Claude Opus 4.6,AEOSSP-Standard,case_0004,14,0,no,yes,True,73.05,repeated calibration with high-quality handoff,45;83;85;87;102;106;112;121;133;141;154;225;248;254,
Claude Code + Claude Opus 4.6,AEOSSP-Standard,case_0005,0,0,no,no,True,0.0,no external calibration; low or invalid outcome,,
Codex,AEOSSP-Standard,case_0001,2,1,no,yes,True,67.7,repeated calibration with high-quality handoff,193;310,23
Codex,AEOSSP-Standard,case_0002,3,2,no,yes,True,73.77,repeated calibration with high-quality handoff,45;97;144,21;33
Codex,AEOSSP-Standard,case_0003,1,3,no,yes,True,73.84,light verifier use with high-quality handoff,58,21;31;32
Codex,AEOSSP-Standard,case_0004,7,1,no,yes,True,70.41,repeated calibration with high-quality handoff,48;142;208;278;324;358;372,23
Codex,AEOSSP-Standard,case_0005,16,0,no,yes_no_commit_detected,True,78.83,repeated calibration with high-quality handoff,38;86;117;133;154;175;190;230;251;268;283;300;318;342;358;372,
Kimi CLI,AEOSSP-Standard,case_0001,13,1,no,yes,True,67.63,repeated calibration with high-quality handoff,326;356;362;368;464;506;578;608;632;711;729;759;855,10
Kimi CLI,AEOSSP-Standard,case_0002,20,3,yes,yes,True,73.5,repeated calibration with high-quality handoff,248;284;326;332;338;344;350;380;416;746;944;950;956;1022;1142;1184;1190;1196;1346;1370,9;18;224
Kimi CLI,AEOSSP-Standard,case_0003,15,1,yes,yes,True,73.06,repeated calibration with high-quality handoff,260;266;272;350;362;368;374;380;410;428;518;596;632;638;650,16
Kimi CLI,AEOSSP-Standard,case_0004,8,1,no,yes,True,70.63,repeated calibration with high-quality handoff,222;240;373;379;416;513;538;563,228
Kimi CLI,AEOSSP-Standard,case_0005,9,2,no,yes,True,75.32,repeated calibration with high-quality handoff,274;311;317;342;386;411;504;585;654,9;20
OpenCode + DeepSeek V4 Pro,AEOSSP-Standard,case_0001,13,3,no,yes,True,67.09,repeated calibration with high-quality handoff,36;107;174;178;199;241;306;314;327;385;389;405;487,21;56;61
OpenCode + DeepSeek V4 Pro,AEOSSP-Standard,case_0002,21,1,yes,yes,True,73.7,repeated calibration with high-quality handoff,123;175;179;213;217;263;274;285;346;357;360;371;382;393;408;430;434;445;456;476;488,23
OpenCode + DeepSeek V4 Pro,AEOSSP-Standard,case_0003,23,1,no,yes,True,70.77,repeated calibration with high-quality handoff,166;204;208;226;234;254;274;290;306;313;342;361;369;373;396;424;435;445;454;461;474;485;505,17
